Lp,x
1,842.23
2,859.28
3,951.14
4,839.27
5,964.35
6,901.59
7,840.32
8,901.09
9,878.21
10,899.32
11,1069.14
12,809.81
13,882.93
14,892.01
15,919.61
16,939.53
17,804.38
18,731.17
19,998.84
20,979.77
21,831.48
22,901.58
23,954.37
24,879.23
25,856.04
26,942.74
27,946.08
28,898.02
29,995.29
30,819.69
31,868.23
32,867.35
33,766.67
34,787.84
35,945.2
36,1036.35
37,825.6
38,760.42
39,963.32
40,896.01
41,809.51
42,938.51
43,829.88
44,955.69
45,887.25
46,928.08
47,808.55
48,898.84
49,879.96
50,798.1
51,936.57
52,928.21
53,904.59
54,870.65
55,945.23
56,911.54
57,952.39
58,786.45
59,980.29
60,859.18
61,853.97
62,906.85
63,905.28
64,911.85
65,1000.95
66,864.62
67,823.08
68,1026.75
69,872.34
70,869.66
71,930.93
72,1028.37
73,1001.82
74,875.69
75,884.66
76,776.26
77,952.72
78,949.97
79,848.93
80,861.74
81,886.01
82,986.02
83,869.18
84,887.4
85,954.19
86,847.53
87,846.72
88,902.28
89,903.08
90,961.64
91,977.29
92,995.46
93,880.4
94,844.93
95,891.68
96,970.76
97,829.35
98,966.82
99,908.08
100,1045.02
